Seed,Fluted,Hibrid,Vampire
2817039159,0,0,300000
2953374922,0,0,18610
2614754681,0,0,18
1074296665,0,0,5447
230722837,1,5317,300000
1391558739,0,0,330000
544010096,0,0,330000
2823993138,0,0,0
860867984,0,0,0
2714125270,0,0,0
2793433312,0,0,0
1541772068,0,0,330000
3386033958,0,0,0
2583544419,0,0,300000
961010913,0,0,330000
1110048072,0,0,330000
1460029953,0,0,300000
3874299186,0,0,0
1970861988,0,0,300000
43350691,0,0,300000
4125529967,0,0,0
2491473765,0,0,0
605607832,0,0,3626
2182317157,0,300000,400000
1537132516,0,0,0
