Lex,Fluted,Hibrid,Vampire
0,0.00,0.00,0.00
1,0.88,0.00,0.00
2,0.28,0.08,0.00
3,0.16,0.20,0.00
4,2.00,12000.00,88000.00
5,12000.12,11092.80,37200.04
6,12007.16,24000.08,32000.00
7,12073.56,0.88,45939.96
8,0.00,0.00,121210.16
9,21727.97,20765.34,72732.17
10,85919.20,36151.80,123252.08
11,24109.68,23622.88,46182.40
12,0.12,12000.00,179053.36
13,24001.20,7283.80,94048.00
14,68885.52,60027.96,123972.36
15,72349.64,70961.40,117215.80
16,54985.92,56113.24,130648.44
17,36255.00,59233.04,178000.16
18,88192.15,142947.44,197919.22
19,72047.96,68610.32,118539.32
20,0.00,0.00,0.00
21,0.00,0.00,0.00
22,0.00,9131.00,13.00
23,0.28,0.00,0.16
24,0.00,12000.00,119202.04
25,35.64,0.04,76741.96
26,2.68,0.76,48000.20
27,3.40,0.36,50403.56
28,0.00,24000.12,117310.56
29,12005.40,12011.24,68153.16
