Seed,Fluted,Hibrid,Vampire
3706241436,0,523,330000
4150522329,0,0,300000
152632342,0,0,0
2298144115,0,0,0
1082924024,0,0,0
3519042377,10137,15,300000
3643147240,0,0,0
3258033432,0,0,300000
3181083112,0,0,0
1545029325,0,1,330000
3188450677,300000,330000,??
3572520233,0,0,0
719434844,95,300000,??
1798717789,0,0,330000
1830575646,0,330000,??
3851467964,0,0,0
4039832522,1,0,300000
198068181,0,0,0
736165321,0,0,0
1067368539,0,0,0
3942034206,0,0,2
1496728431,0,22,300000
745908919,0,0,1
3133628288,0,0,300000
3391995424,0,0,330000
